experiment,run_name,model,dataset_version,scale_factor,epochs,batch_size,learning_rate,loss,val_loss,psnr,ssim,git_commit
baseline_run,baseline_run,BaselineSR,geosr_v1,4,10,8,0.0001,l1,nan,0.0,0.0,b465999f46abafa3ad3982338d5f72d9992a702f
baseline_run,baseline_run,BaselineSR,geosr_v1,4,12,8,0.0001,l1,nan,31.0751,0.6702,b465999f46abafa3ad3982338d5f72d9992a702f
